statusId|sensorName|value|timestamp
8|MPU6500 Acceleration Sensor|[-0.23822308,5.8119245,12.848483]|1525553238001
8|MPU6500 Gyroscope Sensor|[1.1632688,0.05539375,-0.26418558]|1525553238001
8|MPU6500 Acceleration Sensor|[0.12449849,5.509058,12.52766]|1525553238006
8|MPU6500 Gyroscope Sensor|[1.2634037,0.08522116,-0.24074976]|1525553238006
8|MPU6500 Acceleration Sensor|[0.12449849,5.509058,12.52766]|1525553238007
8|MPU6500 Gyroscope Sensor|[1.2634037,0.08522116,-0.24074976]|1525553238007
8|MPU6500 Acceleration Sensor|[0.49320555,5.2756233,12.120646]|1525553238011
8|MPU6500 Gyroscope Sensor|[1.3773869,0.0958738,-0.24074976]|1525553238011
8|MPU6500 Acceleration Sensor|[0.8403648,5.1690817,11.694478]|1525553238016
8|MPU6500 Gyroscope Sensor|[1.506284,0.096939065,-0.25992453]|1525553238017
8|MPU6500 Acceleration Sensor|[1.1923125,5.1846437,11.176133]|1525553238021
8|MPU6500 Gyroscope Sensor|[1.639442,0.11824436,-0.294013]|1525553238021
8|MPU6500 Acceleration Sensor|[1.3994108,5.2899885,10.488997]|1525553238027
8|MPU6500 Gyroscope Sensor|[1.7598169,0.16405073,-0.3355583]|1525553238027
8|MPU6500 Acceleration Sensor|[1.3311762,5.3678,9.927557]|1525553238031
8|MPU6500 Gyroscope Sensor|[1.861017,0.22050974,-0.37923414]|1525553238031
8|MPU6500 Acceleration Sensor|[1.234211,5.5246205,9.534908]|1525553238036
8|MPU6500 Gyroscope Sensor|[1.937716,0.27696875,-0.4111921]|1525553238036
8|MPU6500 Acceleration Sensor|[1.1228806,5.744887,9.257181]|1525553238041
8|MPU6500 Gyroscope Sensor|[1.9931098,0.32170987,-0.4293016]|1525553238040
8|MPU6500 Acceleration Sensor|[1.1228806,5.744887,9.257181]|1525553238043
8|MPU6500 Gyroscope Sensor|[1.9931098,0.32170987,-0.4293016]|1525553238043
8|MPU6500 Acceleration Sensor|[0.7589619,5.705383,8.967483]|1525553238047
8|MPU6500 Gyroscope Sensor|[2.0399814,0.36112466,-0.43569317]|1525553238047
8|MPU6500 Acceleration Sensor|[-0.10055647,5.544971,7.2723875]|1525553238051
8|MPU6500 Gyroscope Sensor|[2.0815268,0.45167214,-0.4282363]|1525553238051
8|MPU6500 Acceleration Sensor|[-0.20829555,6.3063273,6.1662664]|1525553238055
8|MPU6500 Gyroscope Sensor|[2.1007016,0.53476274,-0.38242993]|1525553238055
8|MPU6500 Acceleration Sensor|[-0.20829555,6.3063273,6.1662664]|1525553238058
8|MPU6500 Gyroscope Sensor|[2.1007016,0.53476274,-0.38242993]|1525553238058
8|MPU6500 Acceleration Sensor|[-0.5482722,7.177817,7.067683]|1525553238065
8|MPU6500 Gyroscope Sensor|[2.1156151,0.28122982,-0.2609898]|1525553238065
8|MPU6500 Acceleration Sensor|[-0.6584055,7.6003933,8.220491]|1525553238070
8|MPU6500 Gyroscope Sensor|[2.1241374,0.17150758,-0.2034655]|1525553238070
8|MPU6500 Acceleration Sensor|[-0.50996494,8.1319065,8.582016]|1525553238075
8|MPU6500 Gyroscope Sensor|[2.1209416,0.16405073,-0.14168017]|1525553238075
8|MPU6500 Acceleration Sensor|[-0.6500258,8.236053,7.869741]|1525553238080
8|MPU6500 Gyroscope Sensor|[2.082592,0.23009712,-0.09054748]|1525553238080
8|MPU6500 Acceleration Sensor|[-0.9983821,8.198944,6.6067996]|1525553238085
8|MPU6500 Gyroscope Sensor|[2.0122845,0.2609898,-0.036218993]|1525553238085
8|MPU6500 Acceleration Sensor|[-1.1360487,8.212111,5.580884]|1525553238090
8|MPU6500 Gyroscope Sensor|[1.9206718,0.21092236,0.036218993]|1525553238090
8|MPU6500 Acceleration Sensor|[-1.2150574,8.197746,5.267244]|1525553238094
8|MPU6500 Gyroscope Sensor|[1.804558,0.11824436,0.113983296]|1525553238094
8|MPU6500 Acceleration Sensor|[-1.1719618,8.072051,5.6299653]|1525553238100
8|MPU6500 Gyroscope Sensor|[1.6820526,0.040480047,0.19387813]|1525553238100
8|MPU6500 Acceleration Sensor|[-1.0295067,7.7440453,6.2249246]|1525553238105
8|MPU6500 Gyroscope Sensor|[1.5680692,0.0031957934,0.25992453]|1525553238105
8|MPU6500 Acceleration Sensor|[-0.7541735,7.430405,6.805518]|1525553238110
8|MPU6500 Gyroscope Sensor|[1.4924355,-0.015978966,0.30786142]|1525553238110
8|MPU6500 Acceleration Sensor|[-0.47884035,7.2185183,7.20535]|1525553238115
8|MPU6500 Gyroscope Sensor|[1.4711303,-0.04580637,0.3323625]|1525553238115
8|MPU6500 Acceleration Sensor|[-0.2873042,7.0449386,7.5201874]|1525553238119
8|MPU6500 Gyroscope Sensor|[1.4998924,-0.08948222,0.3291667]|1525553238119
8|MPU6500 Acceleration Sensor|[-0.21667525,6.9228344,7.517793]|1525553238124
8|MPU6500 Gyroscope Sensor|[1.5584819,-0.12463594,0.30466563]|1525553238125
8|MPU6500 Acceleration Sensor|[-0.33399114,6.8426285,7.111976]|1525553238130
8|MPU6500 Gyroscope Sensor|[1.6170714,-0.14061491,0.26631612]|1525553238130
8|MPU6500 Acceleration Sensor|[-0.48722005,6.766014,6.4068837]|1525553238135
8|MPU6500 Gyroscope Sensor|[1.6522251,-0.14061491,0.23116238]|1525553238135
8|MPU6500 Acceleration Sensor|[-0.49081135,6.7265096,5.7963624]|1525553238140
8|MPU6500 Gyroscope Sensor|[1.6575515,-0.14061491,0.20772657]|1525553238140
8|MPU6500 Acceleration Sensor|[-0.415394,6.7265096,5.5270147]|1525553238145
8|MPU6500 Gyroscope Sensor|[1.6437031,-0.15126756,0.18961707]|1525553238145
8|MPU6500 Acceleration Sensor|[-0.35434186,6.825869,5.5725045]|1525553238149
8|MPU6500 Gyroscope Sensor|[1.627724,-0.16405073,0.17257284]|1525553238149
8|MPU6500 Acceleration Sensor|[-0.2717419,6.9982514,5.531803]|1525553238154
8|MPU6500 Gyroscope Sensor|[1.6202673,-0.16937704,0.15233281]|1525553238155
8|MPU6500 Acceleration Sensor|[-0.1364695,7.117962,5.415684]|1525553238160
8|MPU6500 Gyroscope Sensor|[1.6213325,-0.15978967,0.13528858]|1525553238160
8|MPU6500 Acceleration Sensor|[0.02873042,7.1670427,5.197812]|1525553238165
8|MPU6500 Gyroscope Sensor|[1.6170714,-0.13315806,0.12250541]|1525553238165
8|MPU6500 Acceleration Sensor|[0.09696517,7.1131735,5.073313]|1525553238170
8|MPU6500 Gyroscope Sensor|[1.6053536,-0.09374327,0.10972224]|1525553238169
8|MPU6500 Acceleration Sensor|[0.108936176,7.091625,5.08289]|1525553238174
8|MPU6500 Gyroscope Sensor|[1.5904398,-0.056459017,0.101200126]|1525553238174
8|MPU6500 Acceleration Sensor|[0.19153613,7.180211,5.0900726]|1525553238179
8|MPU6500 Gyroscope Sensor|[1.5776566,-0.020240024,0.0958738]|1525553238179
8|MPU6500 Acceleration Sensor|[0.24061728,7.3106947,5.175067]|1525553238184
8|MPU6500 Gyroscope Sensor|[1.5712651,0.0127831735,0.083090626]|1525553238185
8|MPU6500 Acceleration Sensor|[0.20590134,7.4112515,5.0625396]|1525553238190
8|MPU6500 Gyroscope Sensor|[1.5723304,0.043675844,0.07669904]|1525553238190
8|MPU6500 Acceleration Sensor|[0.10175357,7.5668745,4.7656584]|1525553238196
8|MPU6500 Gyroscope Sensor|[1.5712651,0.07137272,0.07350325]|1525553238196
8|MPU6500 Acceleration Sensor|[0.0023942017,7.704541,4.4220905]|1525553238200
8|MPU6500 Gyroscope Sensor|[1.5574167,0.08841695,0.07563378]|1525553238200
8|MPU6500 Acceleration Sensor|[-0.15442601,7.8266454,4.015076]|1525553238205
